CEP_inicial,Latitude_inicial,Longitude_inicial,Dia_do_voo,Hora_inicial,Velocidade,CEP_final,Latitude_final,Longitude_final,Pouso,Hora_final
82821020.0,-49.2160678044742,-25.4233146347775,1,06:00:00,40,82310380.0,-49.3574755107166,-25.4271679351543,NAO,06:26:54
82310380.0,-49.3574755107166,-25.4271679351543,1,06:26:54,84,80810070.0,-49.2912702953003,-25.4171734750828,NAO,06:32:52
80810070.0,-49.2912702953003,-25.4171734750828,1,06:32:52,64,82720240.0,-49.2309054649185,-25.3649974344476,NAO,06:40:26
82720240.0,-49.2309054649185,-25.3649974344476,1,06:40:26,44,82400380.0,-49.3559660424619,-25.3939611290747,NAO,07:00:41
82400380.0,-49.3559660424619,-25.3939611290747,1,07:00:41,36,82015110.0,-49.3250852303798,-25.4160406938864,SIM,07:08:51
82015110.0,-49.3250852303798,-25.4160406938864,1,07:08:51,44,82025060.0,-49.3098019002186,-25.4094383254911,NAO,07:12:09
82025060.0,-49.3098019002186,-25.4094383254911,1,07:12:09,60,81560570.0,-49.2107486004445,-25.4943561601417,NAO,07:27:19
81560570.0,-49.2107486004445,-25.4943561601417,1,07:27:19,56,81330620.0,-49.3345923101625,-25.4883481133979,NAO,07:42:40
81330620.0,-49.3345923101625,-25.4883481133979,1,07:42:40,36,82620150.0,-49.2203917399179,-25.3843628304926,NAO,08:03:19
82620150.0,-49.2203917399179,-25.3843628304926,1,08:03:19,60,82020770.0,-49.3165390673192,-25.4035799002893,NAO,08:15:19
82020770.0,-49.3165390673192,-25.4035799002893,1,08:15:19,36,81470255.0,-49.3374921110026,-25.569630444458,SIM,08:50:46
81470255.0,-49.3374921110026,-25.569630444458,1,08:50:46,52,81450410.0,-49.3448539613686,-25.4981067710058,NAO,08:56:29
81450410.0,-49.3448539613686,-25.4981067710058,1,08:56:29,36,81880240.0,-49.2975794776044,-25.5404745077498,NAO,09:09:26
81880240.0,-49.2975794776044,-25.5404745077498,1,09:09:26,36,81830300.0,-49.2642839884632,-25.5229877082695,NAO,09:15:50
81830300.0,-49.2642839884632,-25.5229877082695,1,09:15:50,40,81450310.0,-49.3482807107009,-25.4928927891057,SIM,09:29:09
81450310.0,-49.3482807107009,-25.4928927891057,1,09:29:09,52,82130580.0,-49.280654645349,-25.3655056873644,NAO,09:41:02
82130580.0,-49.280654645349,-25.3655056873644,1,09:41:02,52,81230560.0,-49.3467354210512,-25.4618345263762,NAO,09:56:21
81230560.0,-49.3467354210512,-25.4618345263762,1,09:56:21,84,81935446.0,-49.2494041568186,-25.5561318634792,NAO,10:07:31
81935446.0,-49.2494041568186,-25.5561318634792,1,10:07:31,52,81560480.0,-49.2131369999224,-25.4932949091003,NAO,10:14:26
81560480.0,-49.2131369999224,-25.4932949091003,1,10:14:26,52,82320230.0,-49.3423791541151,-25.4021230003188,SIM,10:31:30
82320230.0,-49.3423791541151,-25.4021230003188,1,10:31:30,68,81240110.0,-49.3455733886983,-25.4758162194925,NAO,10:38:45
81240110.0,-49.3455733886983,-25.4758162194925,1,10:38:45,44,81580179.0,-49.2235692856984,-25.4968867857253,SIM,10:58:12
